method,comparison,auc,n,ci_low,ci_high
PCA (T2/Q),CN vs MCI,0.6959061626913574,430,,
PCA (T2/Q),CN vs AD,0.8897878854143888,303,0.8335884539689482,0.9368084408484584
PCA (T2/Q),CN vs MCI+AD,0.7297111810122963,464,,
GMM (-log-lik),CN vs MCI,0.6978918931399942,430,,
GMM (-log-lik),CN vs AD,0.8807128799475181,303,0.8063607041329544,0.9387737808878198
GMM (-log-lik),CN vs MCI+AD,0.7297683728910493,464,,
Autoencoder -- sklearn MLPRegressor (OLD),CN vs MCI,0.6669283520746265,430,,
Autoencoder -- sklearn MLPRegressor (OLD),CN vs AD,0.8141263940520447,303,0.7298163131423572,0.8903345724907062
Autoencoder -- sklearn MLPRegressor (OLD),CN vs MCI+AD,0.6925936517014584,464,,
Autoencoder -- Keras/TF (NEW),CN vs MCI,0.7025791405943338,430,,
Autoencoder -- Keras/TF (NEW),CN vs AD,0.8505357533347911,303,0.7784577957577082,0.9127542094904878
Autoencoder -- Keras/TF (NEW),CN vs MCI+AD,0.7283767038413879,464,,
