weighting,modalities,n_features,n_rows,event_rate,AUC,calibration_gap,missed_events@0.5,false_alarms@0.5,cost@0.5,best_threshold,missed_events@best,false_alarms@best,cost@best
balanced,(demographics only),5,5296,0.0832703927492447,0.6398474116732172,0.09975457853625339,407,167,4.335158610271903,0.0033490215749348885,0,4204,0.7938066465256798
balanced,mri,8,5296,0.0832703927492447,0.7361814619428272,0.08592396777442092,396,154,4.216389728096677,0.01713448379821827,7,4031,0.8351586102719033
balanced,pet,7,5296,0.0832703927492447,0.7496122238802834,0.08896231278826634,367,276,3.9327794561933533,0.025572028327805668,15,3306,0.7828549848942599
balanced,csf,8,5296,0.0832703927492447,0.7175852558668507,0.09507979633258702,372,265,3.98357250755287,0.022607851093705045,10,3891,0.8404456193353474
balanced,mri+pet+csf,13,5296,0.0832703927492447,0.794501075404415,0.0857338872104733,342,265,3.6663519637462234,0.0535550629062252,19,2864,0.7416918429003021
cost_sensitive,(demographics only),5,5296,0.0832703927492447,0.6443379548867263,0.23120688488171232,290,938,3.2435800604229605,0.029829607771918357,1,4150,0.7941842900302115
cost_sensitive,mri,8,5296,0.0832703927492447,0.7418022890584314,0.2049955941591138,234,923,2.6486027190332324,0.03700691267500445,2,4000,0.7764350453172205
cost_sensitive,pet,7,5296,0.0832703927492447,0.7540464864284195,0.20830261213658613,196,1136,2.287009063444109,0.0535550629062252,10,3442,0.7556646525679759
cost_sensitive,csf,8,5296,0.0832703927492447,0.7287633900109992,0.21424773924149487,238,1034,2.711858006042296,0.04316832735339545,6,3996,0.81797583081571
cost_sensitive,mri+pet+csf,13,5296,0.0832703927492447,0.7934013838971907,0.18997104733131925,177,944,2.0498489425981874,0.04734723706611202,5,3600,0.7326283987915407
