model,modalities,n_features,n_rows,event_rate,AUC,calibration_gap
forest,(gap + demographics only),6,8155,0.10950337216431637,0.5763146637931484,0.0839113018597997
forest,mri,12,8155,0.10950337216431637,0.7135258689097214,0.07088575516043326
forest,pet,10,8155,0.10950337216431637,0.7310082273368896,0.0619546290619252
forest,csf,12,8155,0.10950337216431637,0.6984219346716697,0.0675871653382383
forest,mri+pet+csf,22,8155,0.10950337216431637,0.7801235195373423,0.06648354792560802
mlp,(gap + demographics only),6,8155,0.10950337216431637,0.5380409087726906,0.13249366469848708
mlp,mri,12,8155,0.10950337216431637,0.6158032285751384,0.07183555047553249
mlp,pet,10,8155,0.10950337216431637,0.5826283437723497,0.09994960676699785
mlp,csf,12,8155,0.10950337216431637,0.5639764341092921,0.07606809962556339
mlp,mri+pet+csf,22,8155,0.10950337216431637,0.7274426727911913,0.043986313019646166
