model,modalities,n_features,n_rows,MAE,RMSE,MAE_baseline
rf,(gap + demographics only),4,2517,2.0782685055983254,2.9962964334264175,1.8347679554022263
rf,mri,10,2517,1.8907065302962442,2.7284579324759646,1.8347679554022263
rf,pet,8,2517,1.8567019956008448,2.70619883740192,1.8347679554022263
rf,csf,10,2517,2.008189319459986,2.945941815746004,1.8347679554022263
rf,mri+pet+csf,20,2517,1.7548622204963353,2.5777621659617225,1.8347679554022263
mlp,(gap + demographics only),4,2517,1.934244684800448,2.664593967034568,1.8347679554022263
mlp,mri,10,2517,2.0699265557576316,2.896005435185857,1.8347679554022263
mlp,pet,8,2517,2.0171255403735837,3.0307263560162703,1.8347679554022263
mlp,csf,10,2517,2.3809011137549927,3.346549908608854,1.8347679554022263
mlp,mri+pet+csf,20,2517,2.181823966210267,3.062559303949531,1.8347679554022263
