approach,approach_group,split,n_rows,total_cost,over_threshold_count,didi,catch_rate,r2,mae,auc,total_cost_ci_low,total_cost_ci_high,didi_ci_low,didi_ci_high,catch_rate_ci_low,catch_rate_ci_high,r2_ci_low,r2_ci_high,mae_ci_low,mae_ci_high,auc_ci_low,auc_ci_high,notes
unconstrained,fairness_correction,train,2048,,,0.0840945795010316,,0.3447715699398179,0.1751676582716755,,,,,,,,,,,,,,"No fairness constraint, this is the accuracy ceiling and DIDI floor for this comparison."
unconstrained,fairness_correction,test,753,,,0.1283579017124141,,0.0564027458082336,0.2113425860129504,,,,,,,,,,,,,,"No fairness constraint, this is the accuracy ceiling and DIDI floor for this comparison."
fixed_lambda,fairness_correction,train,2048,,,0.0290239824421074,,-0.0466166138719024,0.2123221362617187,,,,,,,,,,,,,,"Fixed Lagrangian multiplier alpha=5.0, DIDI threshold 0.042."
fixed_lambda,fairness_correction,test,753,,,0.0480554441467159,,-0.2902640476627252,0.2327210227569261,,,,,,,,,,,,,,"Fixed Lagrangian multiplier alpha=5.0, DIDI threshold 0.042."
dual_lambda,fairness_correction,train,2048,,,0.0421043679163855,,0.3362058279081595,0.1771502553601749,,,,,,,,,,,,,,"Learned Lagrangian multiplier via gradient ascent, trained alpha 0.038, DIDI threshold 0.042."
dual_lambda,fairness_correction,test,753,,,0.1223262735028567,,0.0672579297909546,0.210891566349374,,,,,,,,,,,,,,"Learned Lagrangian multiplier via gradient ascent, trained alpha 0.038, DIDI threshold 0.042."
pipeline_health_index,interval_policy,train,10162,59644.07719963537,4837.0,2.930656185185065,,,,,,,,,,,,,,,,,"Snapshot adaptive policy on RISK_SCORE blended 80/20 with Method B HI, matched by RID and nearest exam date within 180 days, 67.1% coverage."
pipeline_health_index,interval_policy,test,3665,21640.88737121668,1752.0,2.029941661754055,,,,,,,,,,,,,,,,,"Snapshot adaptive policy on RISK_SCORE blended 80/20 with Method B HI, matched by RID and nearest exam date within 180 days, 67.1% coverage."
trajectory_adaptive,interval_policy,train,10162,50427.2955717269,926.0,6.129120457310466,84.83033932135729,,,,48129.88415714667,52774.568348719295,3.3545767230183667,8.66769295981906,81.65229920169436,88.25992524497424,,,,,,,"Uses each patient own risk trajectory when available, 71.6 percent of train rows have a real trajectory, the rest fall back to a snapshot only recommendation."
trajectory_adaptive,interval_policy,test,3665,18710.3772926848,387.0,6.919439054169908,87.30964467005076,,,,17236.499464269677,20238.533547163137,4.537700221091771,12.77937555234181,82.79386927883803,91.67268786127164,,,,,,,"Uses each patient own risk trajectory when available, 73.8 percent of test rows have a real trajectory, the rest fall back to a snapshot only recommendation."
decline_attribution,attribution,train,1627,,,,,0.0405616137120182,0.1433429859047409,,,,,,,,0.0235877363396077,0.0532492470068713,0.1340361694956213,0.1532852224064374,,,"Lasso on per month biomarker slopes rather than raw levels, alpha=0.01, train coverage 71.6 percent."
decline_attribution,attribution,test,620,,,,,0.0199090213117713,0.1502906142947516,,,,,,,,-0.0451404523139929,0.0376983979717541,0.1361789665516229,0.1674910223034516,,,"Lasso on per month biomarker slopes rather than raw levels, alpha=0.01, test coverage 73.8 percent."
decline_attribution_forest,attribution,train,1627,,,,,0.1843504687049223,0.1307312947041238,,,,,,,,0.156036646854462,0.2103686014550225,0.121476702407399,0.1397102848151467,,,"Random Forest on per month biomarker slopes, 200 trees, max depth 4, train coverage 71.6 percent."
decline_attribution_forest,attribution,test,620,,,,,0.0883528836399126,0.1435012244816073,,,,,,,,0.0071532895679148,0.1347002172326491,0.1295001998361718,0.1598216908350231,,,"Random Forest on per month biomarker slopes, 200 trees, max depth 4, test coverage 73.8 percent."
real_outcome_attribution,attribution,train,1627,,,,,,,0.7195978105663969,,,,,,,,,,,0.6595203838221464,0.7821769561164836,"L1 logistic regression predicting a real recorded DIAGNOSIS_WORSENED_NEXT event from 8 biomarker levels, scored by area under the ROC curve rather than r2."
real_outcome_attribution,attribution,test,620,,,,,,,0.6190357053504414,,,,,,,,,,,0.5460803689064558,0.7051761500944241,"L1 logistic regression predicting a real recorded DIAGNOSIS_WORSENED_NEXT event from 8 biomarker levels, scored by area under the ROC curve rather than r2."
lasso,attribution,train,2048,,,,,0.2902278898686163,0.1320767223253101,,,,,,,,0.2427187417458988,0.3289626622002982,0.1223439168700022,0.1419362177681676,,,"Signed linear attribution, alpha=0.01, over 8 biomarkers."
lasso,attribution,test,753,,,,,0.4143807001029648,0.1169193075171684,,,,,,,,0.3441799316473822,0.4666348435736746,0.1026408857761729,0.1328656145684417,,,"Signed linear attribution, alpha=0.01, over 8 biomarkers."
random_forest,attribution,train,2048,,,,,0.4404438538563155,0.1143138738345281,,,,,,,,0.398935739929431,0.4728580779919741,0.1063782071505125,0.1228756416118842,,,"Nonlinear attribution, 200 trees, max depth 4, feature_importances_ available on the fitted model."
random_forest,attribution,test,753,,,,,0.4920072184509956,0.1086317249424429,,,,,,,,0.4155811933460661,0.5484460093339718,0.0959866879667954,0.1224863299375889,,,"Nonlinear attribution, 200 trees, max depth 4, feature_importances_ available on the fitted model."
fixed_policy,interval_policy,train,10162,59987.59010097558,926.0,0.0,87.62475049900199,,,,57020.60919453828,63167.48282786957,0.0,0.0,84.47082537028189,90.43710708720648,,,,,,,"No patient information used, same interval for everyone, DIDI is 0 by construction."
