2026-07-19 17:47:32 INFO     logs.logging_config: Logging initialised. app.log=/Users/pelle/Development/GitHub/aac-mcp-agent/app/logs/app.log, errors.log=/Users/pelle/Development/GitHub/aac-mcp-agent/app/logs/errors.log, agent.log=/Users/pelle/Development/GitHub/aac-mcp-agent/app/logs/agent.log, prompt.log=/Users/pelle/Development/GitHub/aac-mcp-agent/app/logs/prompt.log, file_level=DEBUG
2026-07-19 17:47:32 DEBUG    settings: Settings loaded from /Users/pelle/Development/GitHub/aac-mcp-agent/app/user_settings.json
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Initializing server 'AAC Pictogram Service'
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Registering handler for ListToolsRequest
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Registering handler for CallToolRequest
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Registering handler for ListResourcesRequest
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Registering handler for ReadResourceRequest
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Registering handler for PromptListRequest
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Registering handler for GetPromptRequest
2026-07-19 17:47:33 DEBUG    mcp.server.lowlevel.server: Registering handler for ListResourceTemplatesRequest
2026-07-19 17:47:36 INFO     src.api.server: Using LlamaCppBackend: /Users/pelle/Development/GitHub/aac-mcp-agent/app/models/Qwen2.5-3B-Instruct-Q4_K_M.gguf  (n_ctx=2048)
2026-07-19 17:47:36 INFO     src.api.server: [WARMUP] background model load started
2026-07-19 17:47:36 INFO     src.api.server: Creating AACAgent model='qwen2.5:3b'  backend=LlamaCppBackend
2026-07-19 17:47:36 INFO     mcp_server.dataset_cache: Loaded 15718 keywords for lang='en'.
2026-07-19 17:47:36 INFO     mcp_server.tools.arasaac: list_keywords(lang='en'): 15718 keywords from local dataset.
2026-07-19 17:47:36 INFO     agent.agent: Loaded 15718 ARASAAC keywords for lang='en'.
2026-07-19 17:47:36 INFO     agent.backends: Loading GGUF model from '/Users/pelle/Development/GitHub/aac-mcp-agent/app/models/Qwen2.5-3B-Instruct-Q4_K_M.gguf' (n_ctx=2048) ...
2026-07-19 17:47:39 INFO     agent.backends: GGUF model loaded.
2026-07-19 17:47:51 DEBUG    httpcore.connection: connect_tcp.started host='127.0.0.1' port=11434 local_address=None timeout=None socket_options=None
2026-07-19 17:47:51 DEBUG    httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x12af83450>
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_headers.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_headers.complete
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_body.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_body.complete
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_headers.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sun, 19 Jul 2026 15:47:51 GMT'), (b'Content-Length', b'1793')])
2026-07-19 17:47:51 INFO     httpx: HTTP Request: GET http://127.0.0.1:11434/api/tags "HTTP/1.1 200 OK"
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_body.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_body.complete
2026-07-19 17:47:51 DEBUG    httpcore.http11: response_closed.started
2026-07-19 17:47:51 DEBUG    httpcore.http11: response_closed.complete
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_headers.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_headers.complete
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_body.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: send_request_body.complete
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_headers.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sun, 19 Jul 2026 15:47:51 GMT'), (b'Content-Length', b'1793')])
2026-07-19 17:47:51 INFO     httpx: HTTP Request: GET http://127.0.0.1:11434/api/tags "HTTP/1.1 200 OK"
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_body.started request=<Request [b'GET']>
2026-07-19 17:47:51 DEBUG    httpcore.http11: receive_response_body.complete
2026-07-19 17:47:51 DEBUG    httpcore.http11: response_closed.started
2026-07-19 17:47:51 DEBUG    httpcore.http11: response_closed.complete
2026-07-19 17:47:53 DEBUG    httpcore.http11: send_request_headers.started request=<Request [b'GET']>
2026-07-19 17:47:53 DEBUG    httpcore.http11: send_request_headers.complete
