rank,lr,hidden-dim,weight-decay,num-layers,metric,score,elapsed_s,checkpoint
1,1e-3,128,5e-4,3,ap,0.8821,350.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_009.pt
2,1e-3,128,0,3,ap,0.8806,344.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_011.pt
3,1e-2,128,0,3,ap,0.8772,103.0,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_003.pt
4,1e-3,256,5e-4,3,ap,0.877,561.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_013.pt
5,1e-3,256,0,3,ap,0.8766,411.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_015.pt
6,1e-4,256,5e-4,3,ap,0.8765,1593.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_021.pt
7,1e-4,256,5e-4,2,ap,0.8745,893.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_020.pt
8,1e-4,256,0,2,ap,0.8737,528.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_022.pt
9,1e-2,256,0,3,ap,0.8715,249.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_007.pt
10,1e-2,128,5e-4,3,ap,0.8713,244.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_001.pt
11,1e-4,256,0,3,ap,0.8704,488.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_023.pt
12,1e-3,256,5e-4,2,ap,0.8667,295.0,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_012.pt
13,1e-3,256,0,2,ap,0.8665,243.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_014.pt
14,1e-3,128,0,2,ap,0.8664,211.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_010.pt
15,1e-3,128,5e-4,2,ap,0.8663,132.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_008.pt
16,1e-2,256,5e-4,3,ap,0.8662,278.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_005.pt
17,1e-2,128,5e-4,2,ap,0.8658,86.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_000.pt
18,1e-2,128,0,2,ap,0.865,94.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_002.pt
19,1e-4,128,5e-4,2,ap,0.8614,485.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_016.pt
20,1e-4,128,0,2,ap,0.8609,384.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_018.pt
21,1e-2,256,0,2,ap,0.8562,180.3,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_006.pt
22,1e-4,128,5e-4,3,ap,0.8562,526.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_017.pt
23,1e-4,128,0,3,ap,0.8556,478.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_019.pt
24,1e-2,256,5e-4,2,ap,0.8509,181.3,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage_hard/trial_004.pt
