rank,lr,hidden-dim,weight-decay,num-layers,metric,score,elapsed_s,checkpoint
1,1e-3,256,5e-4,2,ap,0.9835,171.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_012.pt
2,1e-2,128,0,3,ap,0.9831,117.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_003.pt
3,1e-3,256,0,2,ap,0.9831,160.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_014.pt
4,1e-2,256,0,3,ap,0.983,218.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_007.pt
5,1e-2,256,0,2,ap,0.9829,32.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_006.pt
6,1e-4,128,5e-4,2,ap,0.9827,367.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_016.pt
7,1e-2,128,5e-4,3,ap,0.9826,132.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_001.pt
8,1e-4,128,0,2,ap,0.9819,379.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_018.pt
9,1e-2,256,5e-4,3,ap,0.9816,213.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_005.pt
10,1e-3,256,0,3,ap,0.9805,199.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_015.pt
11,1e-3,128,5e-4,2,ap,0.9802,103.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_008.pt
12,1e-3,256,5e-4,3,ap,0.9801,196.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_013.pt
13,1e-4,128,0,3,ap,0.9794,480.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_019.pt
14,1e-3,128,0,3,ap,0.9793,159.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_011.pt
15,1e-3,128,0,2,ap,0.9792,109.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_010.pt
16,1e-4,128,5e-4,3,ap,0.9792,508.3,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_017.pt
17,1e-2,128,5e-4,2,ap,0.9789,129.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_000.pt
18,1e-3,128,5e-4,3,ap,0.9777,167.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_009.pt
19,1e-2,128,0,2,ap,0.9745,123.0,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_002.pt
20,1e-2,256,5e-4,2,ap,0.9697,216.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_004.pt
21,1e-4,256,0,2,ap,0.957,128.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_022.pt
22,1e-4,256,5e-4,2,ap,0.9566,132.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_020.pt
23,1e-4,256,5e-4,3,ap,0.7599,120.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_021.pt
24,1e-4,256,0,3,ap,0.7581,123.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/graphsage/trial_023.pt
