rank,lr,hidden-dim,weight-decay,num-layers,metric,score,elapsed_s,checkpoint
1,1e-3,64,5e-4,3,ap,0.8646,112.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_013.pt
2,1e-3,64,0,3,ap,0.8639,133.3,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_015.pt
3,1e-2,64,0,3,ap,0.8621,73.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_003.pt
4,1e-3,256,0,2,ap,0.8596,291.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_022.pt
5,1e-3,256,5e-4,3,ap,0.8592,281.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_021.pt
6,1e-3,256,5e-4,2,ap,0.8579,234.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_020.pt
7,1e-3,256,0,3,ap,0.8558,241.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_023.pt
8,1e-2,256,5e-4,2,ap,0.855,129.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_008.pt
9,1e-2,128,5e-4,3,ap,0.8531,89.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_005.pt
10,1e-2,64,0,2,ap,0.8526,52.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_002.pt
11,1e-2,64,5e-4,2,ap,0.8524,42.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_000.pt
12,1e-2,256,0,2,ap,0.8468,118.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_010.pt
13,1e-2,64,5e-4,3,ap,0.8451,53.0,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_001.pt
14,1e-2,128,0,3,ap,0.8451,84.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_007.pt
15,1e-2,128,5e-4,2,ap,0.8438,56.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_004.pt
16,1e-2,128,0,2,ap,0.8375,59.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded_hard/trial_006.pt
