rank,lr,hidden-dim,weight-decay,num-layers,metric,score,elapsed_s,checkpoint
1,1e-3,256,0,2,ap,0.9759,15.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_022.pt
2,1e-3,256,5e-4,2,ap,0.9751,62.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_020.pt
3,1e-4,256,0,2,ap,0.9744,189.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_034.pt
4,1e-4,256,5e-4,2,ap,0.9732,165.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_032.pt
5,1e-3,256,5e-4,3,ap,0.9692,87.0,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_021.pt
6,1e-3,256,0,3,ap,0.9689,83.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_023.pt
7,1e-4,256,0,3,ap,0.9677,221.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_035.pt
8,1e-4,256,5e-4,3,ap,0.9671,203.3,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_033.pt
9,1e-2,256,5e-4,3,ap,0.9618,70.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_009.pt
10,1e-2,256,0,3,ap,0.9561,60.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_011.pt
11,1e-3,128,0,2,ap,0.9475,41.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_encoded/trial_018.pt
