rank,lr,hidden-dim,weight-decay,metric,score,elapsed_s,checkpoint
1,1e-2,256,5e-4,ap,0.8757,495.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_004.pt
2,1e-2,256,0,ap,0.8745,585.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_005.pt
3,1e-3,128,5e-4,ap,0.8498,414.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_008.pt
4,1e-3,128,0,ap,0.8473,509.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_009.pt
5,1e-3,64,5e-4,ap,0.8383,372.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_006.pt
6,1e-3,64,0,ap,0.8311,377.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_007.pt
7,1e-4,256,0,ap,0.7716,244.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_017.pt
8,1e-4,256,5e-4,ap,0.7704,257.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_016.pt
9,1e-3,256,0,ap,0.7596,153.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_011.pt
10,1e-3,256,5e-4,ap,0.7579,136.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_010.pt
11,1e-4,128,0,ap,0.7386,385.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_015.pt
12,1e-4,128,5e-4,ap,0.7347,304.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_014.pt
13,1e-4,64,0,ap,0.7271,245.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_013.pt
14,1e-2,128,0,ap,0.726,76.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_003.pt
15,1e-4,64,5e-4,ap,0.7257,342.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_012.pt
16,1e-2,128,5e-4,ap,0.722,76.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_002.pt
17,1e-2,64,5e-4,ap,0.7076,60.0,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_000.pt
18,1e-2,64,0,ap,0.7072,53.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw_hard/trial_001.pt
