rank,lr,hidden-dim,weight-decay,metric,score,elapsed_s,checkpoint
1,1e-3,256,5e-4,ap,0.9551,20.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_010.pt
2,1e-3,256,0,ap,0.9538,145.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_011.pt
3,1e-2,256,0,ap,0.9477,194.5,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_005.pt
4,1e-4,256,0,ap,0.9443,210.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_017.pt
5,1e-2,256,5e-4,ap,0.9438,128.0,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_004.pt
6,1e-4,256,5e-4,ap,0.9424,234.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_016.pt
7,1e-2,128,0,ap,0.9283,90.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_003.pt
8,1e-2,128,5e-4,ap,0.9249,99.1,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_002.pt
9,1e-4,128,0,ap,0.92,229.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_015.pt
10,1e-3,128,0,ap,0.9179,138.3,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_009.pt
11,1e-4,128,5e-4,ap,0.9157,223.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_014.pt
12,1e-3,64,5e-4,ap,0.9049,81.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_006.pt
13,1e-3,64,0,ap,0.9039,66.9,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_007.pt
14,1e-4,64,0,ap,0.9002,180.6,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_013.pt
15,1e-4,64,5e-4,ap,0.8988,186.8,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_012.pt
16,1e-3,128,5e-4,ap,0.8985,142.4,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_008.pt
17,1e-2,64,5e-4,ap,0.8497,59.7,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_000.pt
18,1e-2,64,0,ap,0.8468,42.2,/Users/giorgioscavello/Documents/GitHub/pellegrinoscavello2425/scripts/../GNNs/weights/tuning/mlp_raw/trial_001.pt
